spec,coef,lag,estimate,se,lb,ub
naive_log1p,beta_0,0,-0.0663587688308239,0.0186557980512575,-0.102924133011289,-0.0297934046503593
naive_log1p,beta_1,1,0.032561187542204,0.0196147035321806,-0.00588363138086997,0.0710060064652779
naive_log1p,beta_2,2,-0.00135258711675686,0.0196835854914566,-0.0399324146800118,0.037227240446498
naive_log1p,beta_3,3,-0.00300395141170091,0.0193958325128181,-0.0410197831368244,0.0350118803134225
naive_log1p,beta_4,4,-0.0436409533741781,0.0169114556032573,-0.0767874063565624,-0.0104945003917937
robust_log1p,beta_0,0,-0.0755399998615978,0.0280187462769526,-0.130455733456391,-0.0206242662668051
robust_log1p,beta_1,1,-0.0604453897847254,0.0251257762279248,-0.109691006275071,-0.0111997732943802
robust_log1p,beta_2,2,0.0233900120158439,0.0318526406486842,-0.0390400164680737,0.0858200404997615
robust_log1p,beta_3,3,-0.0680624106882322,0.0267100905262658,-0.120413226143518,-0.0157115952329468
robust_log1p,beta_4,4,0.0174391705695584,0.0245262288806311,-0.0306313547130647,0.0655096958521815
robust_ihs,beta_0,0,-0.0762631375242982,0.0305094276457935,-0.136060516898984,-0.0164657581496123
robust_ihs,beta_1,1,-0.0635600807964196,0.0271106920988219,-0.116696060906065,-0.0104241006867741
robust_ihs,beta_2,2,0.0224562334894131,0.0343991067864688,-0.044964776912413,0.0898772438912392
robust_ihs,beta_3,3,-0.0740309104847692,0.0291510019553104,-0.131165824430434,-0.0168959965391041
robust_ihs,beta_4,4,0.0195185145170614,0.0262161902417181,-0.0318642741685564,0.0709013032026792
naive_log1p,sum_beta,,-0.0817950731912558,,,
robust_log1p,sum_beta,,-0.163218617749153,,,
robust_ihs,sum_beta,,-0.171879380799012,,,
