direction,bucket,cell,estimate,se,p,ci_lo,ci_hi
RUS_exportateur,total,a_both,-1.44063445440967,0.235632477519322,9.72225270776078e-10,-1.90247411034754,-0.978794798471794
RUS_exportateur,total,b_condemn_only,-0.471076791340869,0.238482488579586,0.0482330043923472,-0.938502468956857,-0.00365111372488069
RUS_exportateur,embargo,a_both,-1.66754299050091,0.274543313692932,1.24856474692866e-09,-2.20564788533906,-1.12943809566277
RUS_exportateur,embargo,b_condemn_only,-0.682083778478065,0.284917542959807,0.0166671553320068,-1.24052216267929,-0.123645394276844
RUS_exportateur,strategic_ne,a_both,-1.19285025180662,0.249467907161362,1.73924509374852e-06,-1.68180734984289,-0.703893153770355
RUS_exportateur,strategic_ne,b_condemn_only,-1.19370435014137,0.330615840782992,0.000305550791033177,-1.84171139807603,-0.545697302206703
RUS_exportateur,nonstrat_ne,a_both,-0.97493296965545,0.225476278558208,1.53306864192356e-05,-1.41686647562954,-0.532999463681361
RUS_exportateur,nonstrat_ne,b_condemn_only,0.0760423911814244,0.202328154124155,0.707038135129666,-0.320520790901919,0.472605573264768
RUS_importateur,total,a_both,-1.4615425231252,0.146321469595992,1.7102785634333e-23,-1.74833260353335,-1.17475244271706
RUS_importateur,total,b_condemn_only,-0.522355818111635,0.270382114054363,0.0533697440966315,-1.05230476165819,0.00759312543491697
RUS_importateur,embargo,a_both,-2.25220725152742,0.409830860885026,3.89703245435084e-08,-3.05547573886207,-1.44893876419277
RUS_importateur,embargo,b_condemn_only,-0.602239320636257,0.332528937862441,0.0701271602006041,-1.25399603884664,0.0495173975741272
RUS_importateur,strategic_ne,a_both,-0.512327884533769,0.290696415141869,0.0779991120084977,-1.08209285821183,0.0574370891442935
RUS_importateur,strategic_ne,b_condemn_only,-1.32338138624851,0.593204529114015,0.0256875971302517,-2.48606226331198,-0.160700509185044
RUS_importateur,nonstrat_ne,a_both,-1.39098151133222,0.130598540629908,1.72836345898507e-26,-1.64695465096684,-1.1350083716976
RUS_importateur,nonstrat_ne,b_condemn_only,-0.500378723965451,0.270417215958276,0.0642566073726159,-1.03039646724367,0.0296390193127709
