instrument,ipd_coef,ipd_se,ipd_pval,vhat_pval,F_stat,N,corr_iv_ipd,ci_lo,ci_hi,sign
PPML reference (no IV),0.0282708811741593,0.0176866054828077,0.109946301863604,,,932992,,-0.00639486557214366,0.0629366279204623,POS
IV-1: Spatial lag (exp neighbors),0.101148138846011,0.0369558834231711,0.00620028748643672,0.0185697432574197,11237.0764346942,752354,0.769473768785084,0.0287146073365961,0.173581670355427,POS
IV-2: Spatial lag symmetric,0.0431607361347392,0.0335942708056121,0.198874491319402,0.11101728303958,27687.4281854268,606658,0.862425079115612,-0.0226840346442605,0.109005506913739,POS
IV-3: Geo x post_2014,-0.41879144788744,1.1263648046247,0.710035805173805,0.690728764581287,15.451955860675,932992,0.0329997547553901,-2.62646646495185,1.78888356917697,NEG
IV-3: Geo x post_2018,0.0272334620816839,0.568605679910031,0.961799793831322,0.998537407726789,66.6011750990132,932992,0.00825494140816615,-1.08723367054198,1.14170059470534,POS
IV-3: Geo x post_2022,-0.0615113500214588,0.386865651461922,0.873669461493565,0.815193459790771,141.506455748917,932992,-0.00813453396094683,-0.819768026886825,0.696745326843908,NEG
IV-3: Geo x 3 events (joint),0.0216757113482324,0.403086134111737,0.957114913078789,0.986858242540067,69.6526403247849,932992,,-0.768373111510773,0.811724534207238,POS
IV-4: Leave-one-out mean IPD,0.0497260408204491,0.017601413417684,0.00472634502961737,9.00258900256377e-17,9956408.48813863,932992,0.613828111411951,0.0152272705217884,0.0842248111191097,POS
IV-5: GDP per capita distance,-0.301248393927355,0.61765748256463,0.625743037660601,0.595404082602611,240.228211498741,898487,0.231483382477964,-1.51185705975403,0.909360271899319,NEG
IV-6: Alignment lag 2 (ideal pts),0.124419495338656,0.0390744568037031,0.00145172524396333,1.62694664294559e-05,28406.4435574079,864035,0.89594839145358,0.047833560003398,0.201005430673914,POS
