term,estimate,se,stat,p,model
ipd,0.124419495338657,0.039074456803703,3.18416442648708,0.00145172524396313,Total_IV
v_hat,-0.143413776511094,0.0332687943694556,-4.31075965418103,1.62694664294523e-05,Total_IV
rta,0.0814625570895208,0.0204917767265326,3.97537793704553,7.02675772104053e-05,Total_IV
ipd,0.312689301023469,0.130040436550297,2.40455437799555,0.0161921970227254,Strategic_IV
v_hat,-0.253082501746519,0.118368400825448,-2.13809175406304,0.0325092970606652,Strategic_IV
rta,0.137916076420241,0.0508142212434813,2.71412358676919,0.00664513704779188,Strategic_IV
ipd,0.111260124384938,0.0387333842061308,2.87246071225884,0.00407288717890967,NonStrategic_IV
v_hat,-0.137714093918923,0.0333266308135353,-4.13225371293732,3.59223587669808e-05,NonStrategic_IV
rta,0.0726988155679491,0.0212562329062615,3.42011756685889,0.000625940776547677,NonStrategic_IV
