spec,role,label,N,n_inst,coef_ipd,se_ipd,p_ipd,coef_vhat,p_vhat_endo,F_joint,sargan_J,sargan_p,hansen_J,hansen_p
S0_baseline_S7,baseline,"S0 PPML baseline (sample S7, N=838,286)",805994,0,-0.0668724231568795,0.0319632812311917,0.0364238564822019,,,,,,,
S0_baseline_full,baseline,"S0 PPML baseline (full, N=1,031,492)",965872,0,-0.0662976130881302,0.0318226700561631,0.0372197518074362,,,,,,,
S0_baseline_common,baseline (sample commun),"S0 PPML baseline (commun, N=121,144)",114346,0,0.0114067863259623,0.0355478010600885,0.748296898128752,,,,,,,
S7,tete affiche,S7 just-id polyarchy,805994,1,-0.308727158423344,0.301239568362664,0.305431170771399,0.240715870629457,0.407352002858621,721.232121692237,,,,
S7_ideol,triangulation,S7b just-id ideol,241402,1,-0.146889404043645,0.314882485879231,0.640865091986902,0.0890555070902348,0.777190785731974,114.986759686385,,,,
S7_allied,cautionary,S7c just-id allied,752739,1,0.324939841465863,0.347874059319141,0.35026612677889,-0.283480760356299,0.41514028298849,212.027509854496,,,,
S7_rival,triangulation,S7d just-id shared_rival,607569,1,-0.554749965178482,0.197137843746273,0.00489260838273361,0.602735623217866,0.00188666314919486,167.858604896769,,,,
S7_polity,robust. mesure,S7e just-id polity,534884,1,1.4508362777321,0.573135837848634,0.0113608084166516,-1.41189372278903,0.0137964893085291,123.005651060417,,,,
S8ter_existant,cautionary (lag2),S8ter IV existant lag2,864035,1,0.124419495338655,0.039074456803703,0.00145172524396341,-0.143413776511092,1.6269466429457e-05,28406.4435574079,,,,
S8a,famille institutional,S8a family institutional,217675,2,-0.258131503804835,0.347799327403597,0.457975150987159,0.198638254296615,0.561638104639572,60.3539762824304,0.90892028826529,0.340401060388746,0.354127335300697,0.551785993133095
S8b,famille strategic,S8b family strategic,607569,2,-0.0690771284788277,0.189024321305539,0.714782669292636,0.113523971570999,0.548005960963193,201.662597595372,49.7822204652412,1.71793685471371e-12,7.71674559830279,0.00547109323414442
S8c,famille combined,S8c family combined,152280,4,0.0251489542692121,0.266031469345831,0.924685168321309,0.00816482689253244,0.975875612834627,46.6704793462734,904.568992193366,9.03606451431306e-196,51.2649634526706,4.29577540855193e-11
S8bis,annex Polity,S8bis Polity annex,155676,2,0.233889115656973,0.22390781982236,0.296218190174431,-0.202707535625548,0.360480465516591,73.2022781032503,2.53442118197573,0.111387726230449,0.820092350983856,0.36515316596195
S7_common,tete affiche (commun),[common] S7 just-id polyarchy,114346,1,-2.02479835122822,0.669186576996302,0.00248008615865772,2.03503726932084,0.00236850887946222,77.794387565614,,,,
S7_ideol_common,triangulation (commun),[common] S7b just-id ideol,114346,1,-0.10878912452788,0.287230203034539,0.704871748554381,0.120561478365354,0.672430430237313,82.9109171909085,,,,
S7_allied_common,cautionary (commun),[common] S7c just-id allied,114346,1,0.957216423417103,0.621686866413771,0.123631474633885,-0.948732460056065,0.126648922453661,12.5156366498637,,,,
S7_rival_common,triangulation (commun),[common] S7d just-id shared_rival,114346,1,0.72025116902022,0.387469177544703,0.0630469069645316,-0.713460749548261,0.068276250276293,45.3389670330336,,,,
S7_polity_common,robust. mesure (commun),[common] S7e just-id polity,114346,1,5.4209191437598,2.23497860841712,0.0152877203563375,-5.41141201472139,0.0155278693870053,20.7446421693908,,,,
S8ter_existant_common,cautionary (lag2) (commun),[common] S8ter IV existant lag2,114346,1,0.0786962641890237,0.0668379988017195,0.239028701054323,-0.0870603358738887,0.107539203625764,4591.66862990624,,,,
