term,estimate,se,stat,p,family,label
polyarchy_dist,0.131699135511506,0.0206351324881427,6.3822771958059,1.79609966370828e-10,institutional,institutional (V-Dem + DPI)
ideol_dist,0.00988746786151216,0.000985251032472526,10.035480842582,1.26418619449521e-23,institutional,institutional (V-Dem + DPI)
allied_atop,-0.112704188195097,0.0101414999976354,-11.1131675019844,1.20554741048191e-28,strategic_relations,strategic_relations (ATOP + MID)
shared_ally_atop,0.00522525693263936,0.000246436045541268,21.203298085565,3.61683649545913e-99,strategic_relations,strategic_relations (ATOP + MID)
shared_rival_mid,-0.0351760445592677,0.00308280722873456,-11.4103938226805,4.18157838323723e-30,strategic_relations,strategic_relations (ATOP + MID)
polyarchy_dist,0.284366590874567,0.0261392739963437,10.8789016448714,1.89810842868972e-27,combined,combined (institutional + strategic)
ideol_dist,0.00753929694743434,0.00109601848785096,6.87880453751941,6.30669174202257e-12,combined,combined (institutional + strategic)
allied_atop,-0.0447827353311278,0.026192539493771,-1.70975156272181,0.087335242214683,combined,combined (institutional + strategic)
shared_ally_atop,0.00324468844297899,0.00069123306693895,4.69405848500238,2.70520994820156e-06,combined,combined (institutional + strategic)
shared_rival_mid,-0.0176230634345165,0.0045402815963281,-3.88149128211981,0.000104321216992541,combined,combined (institutional + strategic)
polity_dist,0.00717357035126786,0.00106739375671609,6.72064109999841,1.890934566095e-11,Polity robustness,institutional Polity (Polity5 + DPI)
ideol_dist,0.0117393255038145,0.00109204699672396,10.7498354365988,7.85925695352201e-27,Polity robustness,institutional Polity (Polity5 + DPI)
