palier,measure,coef_z,se_z,p_z,n
A,ipd,0.0311601649264191,0.0135997581434723,0.0219501526605228,446171
A,polyarchy_dist,0.00457162150373755,0.016696211710178,0.784229175696276,446171
A,polity_dist,0.0127958910624624,0.0143092292720439,0.371193275018576,446171
A,allied_atop,0.0102462045810195,0.0104381835754434,0.326293001072218,446171
A,shared_rival_mid,0.00261073433154877,0.00107967464182219,0.0156028576147855,446171
A,sanction_nontrade,0.00880995382706241,0.00670465302029376,0.188844208666658,446171
A,n_common_sanctioners,0.00998737421113871,0.00563807538209265,0.0764916303156858,446171
B,ipd,0.0302275615170849,0.0114952431104589,0.00854925989221462,534884
B,polyarchy_dist,0.00749079944543894,0.0131193135513654,0.568016621004611,534884
B,polity_dist,0.0296166772036772,0.0116177198766251,0.0107949423591054,534884
B,allied_atop,0.00886570336608003,0.0105916011386276,0.402564270840471,534884
B,sanction_nontrade,-0.0093370301350743,0.00755633473546175,0.216586470108491,534884
B,n_common_sanctioners,0.0157254070281725,0.00737090215290109,0.0328883202534489,534884
C,ipd,-0.0167276492719454,0.0158214103508228,0.290384148788483,778448
C,polyarchy_dist,-0.00435111500319248,0.0131474999563228,0.740685132270754,778448
C,sanction_nontrade,-0.0324688246180604,0.0080315133357834,5.28441022508095e-05,778448
C,n_common_sanctioners,0.0405004845523995,0.00956194426903324,2.27951419669861e-05,778448
